Date,Open,High,Low,Close,Adj Close,Volume
2018-07-18,89.500000,89.599998,85.000000,86.699997,83.236366,35010
2018-07-19,86.699997,89.900002,85.400002,86.800003,83.332382,25094
2018-07-20,86.800003,88.400002,85.400002,86.199997,82.756340,8223
2018-07-23,86.199997,86.199997,84.800003,86.099998,82.660332,50791
2018-07-24,86.099998,91.199997,86.099998,87.800003,84.292427,23462
2018-07-25,89.699997,90.699997,86.699997,87.000000,83.524384,24927
2018-07-26,87.000000,90.599998,85.500000,87.400002,83.908401,22691
2018-07-27,88.900002,90.099998,87.900002,89.800003,86.212540,17918
2018-07-30,90.099998,90.099998,87.599998,87.699997,84.196419,21115
2018-07-31,87.699997,90.000000,87.000000,89.199997,85.636490,25607
2018-08-01,91.000000,91.000000,86.900002,87.000000,83.524384,14980
2018-08-02,86.900002,87.500000,86.000000,87.000000,83.524384,19798
2018-08-03,87.000000,87.500000,85.500000,87.000000,83.524384,12129
2018-08-06,87.000000,87.000000,85.000000,85.400002,81.988304,17043
2018-08-07,85.400002,86.599998,85.000000,85.800003,82.372330,12744
2018-08-08,87.000000,87.000000,85.099998,86.900002,83.428383,13396
2018-08-09,87.099998,90.000000,86.699997,88.000000,84.484444,64748
2018-08-10,88.500000,88.500000,86.300003,86.300003,82.852356,15946
2018-08-13,86.500000,86.599998,83.500000,84.000000,80.644234,37415
2018-08-14,84.099998,84.199997,80.500000,81.900002,78.628128,34305
2018-08-15,81.900002,87.099998,81.000000,86.400002,82.948357,44162
2018-08-16,92.900002,103.000000,92.900002,99.699997,95.717026,311380
2018-08-17,97.800003,99.900002,96.199997,99.599998,95.621025,121902
2018-08-20,100.000000,108.800003,99.900002,103.599998,99.461227,161997
2018-08-21,102.800003,106.199997,102.000000,104.400002,100.229263,108878
2018-08-22,104.199997,108.599998,102.199997,105.400002,101.189308,97501
2018-08-23,104.599998,104.800003,103.199997,104.199997,100.037254,19273
2018-08-24,103.599998,103.599998,101.199997,102.000000,97.925140,98700
2018-08-27,103.599998,105.199997,98.900002,99.099998,95.140991,78573
2018-08-28,99.199997,101.000000,98.099998,99.900002,95.909035,54530
2018-08-29,98.900002,99.000000,96.400002,98.699997,94.756973,53798
2018-08-30,96.699997,104.000000,95.099998,102.400002,98.309166,112875
2018-08-31,102.400002,107.400002,101.599998,106.800003,102.533394,227297
2018-09-03,106.800003,111.599998,106.400002,109.199997,104.837509,141162
2018-09-04,108.800003,111.599998,108.199997,109.400002,105.029510,66650
2018-09-05,109.199997,109.199997,104.599998,104.599998,100.421280,29010
2018-09-06,104.599998,104.599998,99.500000,102.199997,98.117149,26955
2018-09-07,101.800003,101.800003,98.900002,99.699997,95.717026,17021
2018-09-10,99.900002,102.599998,97.199997,98.500000,94.564964,24887
2018-09-11,98.400002,102.400002,98.000000,102.400002,98.309166,11273
2018-09-12,103.000000,109.400002,103.000000,108.199997,103.877449,138840
2018-09-13,107.000000,109.000000,103.599998,107.800003,103.493439,54701
2018-09-14,106.599998,112.000000,106.599998,112.000000,107.525650,108259
2018-09-17,110.800003,110.800003,107.800003,109.400002,105.029510,51989
2018-09-18,109.400002,112.000000,108.599998,111.000000,106.565598,149102
2018-09-19,111.000000,115.599998,111.000000,114.000000,109.445747,64690
2018-09-20,113.800003,115.400002,111.000000,112.800003,108.293694,74405
2018-09-21,112.800003,113.000000,109.199997,111.800003,107.333641,32040
2018-09-24,111.000000,111.000000,106.400002,107.199997,102.917397,25829
2018-09-25,107.000000,107.000000,104.000000,105.400002,101.189308,33252
2018-09-26,105.400002,107.199997,103.599998,105.199997,100.997299,20427
2018-09-27,106.800003,106.800003,105.199997,106.400002,102.149368,15041
2018-09-28,107.000000,109.800003,106.800003,109.000000,104.645493,37062
2018-10-01,109.000000,113.599998,108.000000,112.400002,107.909668,80948
2018-10-02,104.800003,112.400002,104.800003,107.000000,102.725395,101290
2018-10-03,102.800003,105.199997,101.199997,103.400002,99.269218,2367885
2018-10-04,102.400002,104.199997,100.000000,101.000000,96.965088,127222
2018-10-05,101.800003,104.199997,99.699997,103.400002,99.269218,57561
2018-10-08,103.599998,104.000000,97.900002,100.000000,96.005035,56529
2018-10-09,99.900002,99.900002,96.000000,96.000000,92.164841,60011
