Price,AxisX,AxisY,IsValid
2.15,43.68132,62.33766,True,
2.26,56.77288,62.58064,True,
2.22,53.81137,55.76923,True,
2.34,75.9311,51.40845,True,
2.43,100,48.02631,True,
2.63,100,31.24999,False,
2.69,100,30.53434,False,
2.88,100,32.52032,False,
2.62,71.88158,28.57142,False,
2.66,74.4928,43.42105,False,
2.73,81.27378,44.59459,False,
2.64,68.02428,37.76224,False,
2.5,49.36121,33.58208,True,
2.41,37.50923,40.13606,True,
2.43,36.73661,41.33334,True,
2.69,64.01486,43.97163,True,
2.66,55.82026,35.58282,True,
2.64,51.79967,39.61039,True,
2.64,49.01056,42.85714,True,
2.75,65.54341,49.6063,True,
2.8,75.7702,47.72728,True,
2.84,96.97099,53.38984,True,
2.9,100,38.54166,True,
2.79,82.05511,37.7551,True,
2.84,99.3645,47.05883,True,
2.84,95.57224,39.79593,True,
2.97,100,29.76191,True,
2.87,79.18809,18.18182,True,
2.95,91.33769,27.08335,True,
3.03,94.5254,33.33334,True,
3.03,76.4613,27.71086,True,
3.01,68.66085,25.92595,True,
2.96,56.27641,27.71086,True,
2.98,56.16078,36.36364,True,
3.05,62.2201,37.83784,True,
3.08,65.4164,36.36364,True,
3.26,77.45124,37.83785,False,
3.38,79.25808,20.98766,False,
3.48,84.19155,19.31818,False,
3.45,75.20356,17.34694,False,
3.32,62.72681,22.72727,False,
3.45,73.57658,25.27473,False,
3.43,70.70493,23.95834,False,
3.39,65.57871,27.77777,False,
3.29,51.56419,30.85105,False,
3.2,40.87366,36.27451,True,
3.17,35.45425,38.67924,True,
3.06,16.61332,41.12149,True,
3.19,33.13651,49.54955,True,
3.23,37.58066,45.45454,True,
3.18,19.98283,51.40186,True,
3.29,56.81605,60,False,
3.08,0,59.40594,True,
3.07,0,65.54622,True,
3.1,19.04927,61.68224,True,
3.13,36.4967,68.04124,True,
3.28,81.00642,65.30611,True,
3.25,72.9539,55.04588,True,
3.21,62.6716,51.96078,True,
3.16,48.78749,49.48454,True,
3.23,71.58971,50.50505,True,
3.16,45.15708,41.05263,True,
3.21,68.37198,51.68539,True,
3.48,100,51.11111,True,
3.65,100,36.60714,False,
3.54,96.12659,34.74576,True,
3.86,93.38779,28.7037,False,
3.95,74.02393,21.58273,False,
3.73,57.26768,20.68965,False,
3.78,59.21892,31.70732,False,
3.69,52.36293,33.76624,False,
3.58,44.4682,36.25,False,
3.62,47.09674,38.92216,False,
3.54,40.03999,36.14458,False,
3.52,38.49485,40.71856,False,
3.29,9.891597,38.88889,True,
3.38,15.56118,47.77778,False,
3.45,22.27287,53.08642,False,
3.31,0,56.57895,True,
3.17,0,57.41936,True,
3.28,0,75.18247,True,
3.5,49.98513,74.10072,False,
3.38,27.62716,58.27338,False,
3.67,94.80354,63.69863,False,
3.45,24.00591,50.60241,False,
3.34,0,53.67231,False,
3.16,0,57.6087,True,
3.18,0,59.79381,False,
3.01,0,58.76289,True,
3.23,0,57.44681,True,
3.14,0,53.73135,True,
3.12,0,57.63547,True,
3.22,0,54.97382,True,
3.16,0,48.66311,True,
3.25,0,53.2967,True,
3.48,74.88783,57.39645,True,
3.52,94.36414,47.22223,True,
3.95,100,54.83871,True,
4.24,100,35.79546,True,
4.69,100,26.80412,True,
4.55,87.22592,15.38462,True,
4.69,85.76492,20.60086,True,
4.9,79.60585,13.47826,False,
4.86,70.73853,13.53712,True,
4.88,68.67958,11.60714,True,
4.65,59.43713,10.71428,True,
4.76,62.95907,19.83121,True,
4.76,62.46975,16.94214,True,
4.68,58.82662,17.59656,True,
4.87,65.52056,22.47707,True,
5.23,76.27849,21.03005,True,
5.7,87.62411,21.68142,False,
5.16,58.78342,20.08198,True,
5.33,62.57526,40.71146,True,
5.55,67.50505,34.76563,False,
5.35,57.98637,33.71213,True,
5.39,58.61688,41.44488,True,
5.23,51.44668,39.92397,True,
6.03,76.01656,43.68231,False,
5.72,62.121,29.34132,False,
5.72,61.67359,36.44069,False,
5.77,63.67202,36.44069,False,
5.79,63.56503,34.47294,False,
5.74,59.79636,36.22755,False,
5.88,66.77631,41.58416,False,
5.81,65.67057,46.66666,False,
5.55,41.45628,35.42602,True,
5.7,48.99051,45.25862,False,
5.76,52.75686,46.66668,False,
6,69.42987,40.28436,False,
6.12,74.14851,36.79654,False,
5.93,53.84612,30.39648,False,
5.86,54.53795,53.01206,False,
5.88,55.0463,45.07041,False,
5.94,61.44413,44.44444,False,
5.97,63.21821,44.13793,False,
5.92,55.96305,43.83562,False,
5.83,40.01995,43.8356,False,
5.52,0,51.77306,False,
5.67,0,58.78789,False,
5.54,0,46.1039,False,
5.74,0,55.26315,False,
5.63,0,50.60242,False,
5.73,0,62.09151,False,
5.87,81.39229,62.91391,False,
5.83,71.32072,52.05479,False,
5.83,72.18089,51.04896,False,
5.9,92.3697,51.77306,False,
5.98,100,51.40845,False,
5.87,88.94337,49.65985,False,
5.91,100,51.63399,False,
5.79,64.80822,47.2973,False,
5.77,27.24579,39.53488,False,
5.7,0,45.68966,False,
5.64,0,42.72727,False,
5.46,0,55.20833,False,
5.34,0,58.25243,False,
5.4,0,68.57143,False,
5.24,0,74.2268,False,
4.97,0,77.06422,True,
5.59,57.89668,81.61765,True,
5.78,79.23606,58.11518,False,
5.81,84.02356,54.95049,False,
5.8,84.26949,51.54639,False,
5.9,100,52.87957,False,
5.81,89.88562,47.08994,False,
5.78,89.074,48.97959,False,
5.72,83.09328,47.91666,False,
5.89,100,47.91667,False,
5.8,100,38.74346,False,
5.93,100,37.76595,False,
6.07,100,36.41026,False,
6.08,100,28.4974,False,
6.08,70.5849,16.76646,False,
6.05,61.03368,26.66666,False,
6.02,56.89272,34.83144,False,
6.08,59.74643,38.20223,False,
6.11,59.96741,35.10638,False,
6.15,57.69041,37.93103,False,
6.19,56.50144,29.26828,False,
6.13,51.9776,25.30122,False,
6.19,56.0982,25.30117,False,
6.24,60.45651,29.16664,False,
6.12,49.49628,17.64706,False,
6.05,41.14883,35.82088,False,
6.12,48.74842,51.66666,False,
6.21,63.50769,46.96969,False,
5.15,0,41.33331,False,
4.98,0,75.28091,True,
4.94,0,77.08334,True,
4.79,0,80.00001,True,
4.98,1.412449,82.67329,True,
5.04,15.79088,76.95854,True,
4.9,23.51526,76.25572,True,
4.95,32.75632,77.09252,True,
4.85,29.80859,77.43365,True,
4.9,32.68709,80.08659,True,
4.95,37.08066,77.23215,True,
5.06,46.4119,74.7748,True,
5.05,47.70878,73.45132,True,
5.06,52.53474,76.60551,True,
5.06,55.03714,53.98232,True,
5.01,53.015,45.83333,True,
5.03,54.32981,46.39174,True,
5.08,57.01479,35.71425,True,
5.08,58.12486,42.85714,True,
5.15,68.15179,46.87499,True,
5.16,72.94829,28.07012,True,
5.12,67.43765,30.18863,True,
5.82,100,21.27653,True,
5.73,77.94395,8.928528,True,
5.67,69.25974,16.37928,True,
5.86,71.99721,22.52249,False,
6.17,75.60755,18.60464,False,
6.35,72.01453,15.09433,False,
6.09,59.97591,13.55931,False,
6.02,55.48075,22.72726,False,
6.09,57.55281,25.61576,False,
6.03,54.95128,25.36585,False,
6.02,54.05905,27.48814,False,
5.86,45.15503,28.78049,False,
6,52.16469,34.0909,False,
5.9,42.37011,30.86956,False,
5.87,37.07175,47.64706,False,
5.83,29.79568,45.73171,True,
5.74,15.66174,45.06173,True,
5.72,3.227018,53.94738,True,
5.68,0,68.29269,True,
5.76,0,80.73395,True,
5.99,70.55661,68.13185,False,
5.98,69.785,51.40188,False,
5.99,72.48389,55.44555,False,
6.09,92.18518,52.08335,False,
6.03,80.66897,46.66666,False,
6,74.39028,41.05263,False,
6.11,99.83955,50,False,
5.88,44.77301,37.64706,False,
6.44,100,49.5238,False,
6.2,69.19698,30.57325,False,
6.23,67.44781,36.62791,False,
6.19,58.37455,35.26012,False,
6.09,42.07582,35.26012,False,
6.27,60.15788,40.57143,False,
6.15,45.76268,41.7647,False,
6.32,61.44682,45.30387,False,
6.26,54.19662,41.62436,False,
6.23,50.34085,45.59585,False,
6.29,57.14236,44.73685,False,
6.31,59.6933,42.48705,False,
6.12,25.62084,44.56522,False,
5.93,0,43.33334,False,
5.77,0,67.83217,False,
5.65,0,65.92592,True,
5.69,0,70.13889,False,
5.56,0,67.36111,True,
5.75,19.83964,68.02722,False,
5.82,31.49154,67.56757,False,
5.75,26.80443,61.53846,False,
5.6,23.11619,71.42857,True,
5.39,9.918106,73.23944,True,
5.55,28.6432,76.25,True,
5.48,29.52473,71.76469,True,
5.77,54.67665,73.71427,False,
