Target,Stoploss
1,1
Price,RSI.cs,VWAP.cs,IsValid, TimeToValidate
27.125,55.26316,23.53426,True,2,
27.375,52.77778,41.78242,True,2,
27.5,50,52.28047,False,3,
27.75,55.88235,82.12307,False,2,
27.75,55.88235,88.05003,False,1,
27.125,48.27586,33.93729,False,2,
27.25,55.88235,48.43441,False,1,
26.75,40.74074,0,True,6,
26.5,46.66667,0,True,2,
26.625,61.53846,0,True,4,
26.875,66.66667,0,True,4,
26.875,58.33334,0,True,3,
26.75,60.86956,0,True,1,
27.125,57.14286,0,True,1,
28,50,100,True,2,
28.125,41.37931,100,True,2,
28.375,41.37931,100,True,1,
29.25,41.37931,100,False,8,
29.375,33.33334,100,False,1,
29,21.875,100,True,1,
29.5,29.41177,NaN,False,3,
29.5,17.64706,NaN,False,2,
29.375,12.50001,NaN,False,3,
29.125,15.625,NaN,False,6,
29.375,21.875,NaN,False,1,
28.875,20.58823,NaN,True,1,
29.25,27.02703,NaN,False,3,
29.25,27.02703,NaN,False,2,
29.125,33.33334,NaN,False,1,
28.75,36.66666,NaN,True,3,
28.875,45.16129,NaN,True,3,
29,56,NaN,False,11,
29.125,56,NaN,False,10,
29.25,47.82608,NaN,False,9,
29.25,55,NaN,False,8,
29.25,55,NaN,False,7,
29.25,52.63158,NaN,False,6,
29.25,47.05883,NaN,False,5,
29.125,53.33333,NaN,False,4,
29.125,41.66667,NaN,False,3,
29,55.55556,NaN,False,2,
29.25,60,NaN,False,1,
28.625,45.45455,NaN,True,2,
28.625,53.84615,NaN,True,1,
29.375,58.33334,NaN,True,4,
29.25,41.17647,NaN,True,3,
29.25,47.05883,NaN,True,2,
29.375,50,NaN,True,1,
29.75,47.05883,NaN,False,1,
28.5,40,NaN,False,1,
27.75,60,NaN,False,1,
27.125,66.66667,0,False,1,
26.75,70,0,False,3,
27,72.09303,0,False,2,
26.75,68.18182,0,False,1,
25.875,72.72727,0,True,1,
26.25,73.91304,11.40602,False,5,
